Gender,Age,Married,Number of Dependents,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Refunds,Total Extra Data Charges,Customer Status
Female,26,Yes,2,8,36,Yes,42.51,No,No,Two Year,No,Bank Withdrawal,20.25,0.0,0,0
Male,22,No,0,0,7,Yes,12.05,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.25,0.0,0,1
Male,45,Yes,0,2,65,Yes,21.58,Yes,Yes,Two Year,No,Bank Withdrawal,76.15,0.0,0,0
Male,25,Yes,1,6,33,Yes,5.86,No,No,One Year,Yes,Bank Withdrawal,19.45,0.0,0,0
Male,49,No,0,0,54,Yes,17.76,Yes,Yes,Two Year,Yes,Credit Card,108.0,0.0,0,0
Female,70,No,2,0,15,Yes,44.07,Yes,Yes,Month-to-Month,Yes,Mailed Check,74.45,0.0,0,1
Male,57,Yes,0,1,4,Yes,28.22,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.2,0.0,0,1
Female,65,Yes,0,1,26,Yes,18.26,No,Yes,Month-to-Month,No,Bank Withdrawal,84.95,0.0,0,1
Female,45,Yes,3,8,10,Yes,32.76,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.85,0.0,0,0
Male,58,Yes,0,0,67,Yes,29.24,Yes,Yes,One Year,Yes,Bank Withdrawal,111.3,0.0,0,1
Male,71,No,0,0,10,Yes,41.37,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.35,0.0,0,1
Male,39,Yes,3,7,60,Yes,27.2,No,Yes,Two Year,No,Bank Withdrawal,76.95,0.0,0,0
Male,50,No,0,0,65,Yes,45.87,Yes,No,One Year,No,Credit Card,24.8,0.0,0,0
Male,43,Yes,3,5,72,Yes,6.95,No,Yes,Two Year,Yes,Credit Card,104.9,0.0,0,0
Female,79,Yes,0,8,26,Yes,18.66,Yes,Yes,Two Year,Yes,Bank Withdrawal,98.1,44.17,0,0
Female,44,Yes,0,1,8,Yes,46.13,No,No,One Year,Yes,Credit Card,19.75,0.0,0,1
Female,58,Yes,0,3,48,Yes,1.02,No,Yes,Month-to-Month,Yes,Credit Card,100.05,37.45,0,0
Female,32,No,0,0,41,Yes,7.83,Yes,Yes,Month-to-Month,Yes,Credit Card,81.3,0.0,0,0
Male,46,No,0,0,1,No,25.69,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.15,0.0,0,1
Female,53,No,0,0,6,Yes,11.81,No,Yes,Month-to-Month,Yes,Bank Withdrawal,91.1,0.0,0,1
Female,33,Yes,2,3,37,Yes,1.08,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,88.8,0.0,0,0
Female,73,No,0,0,56,Yes,47.13,Yes,Yes,One Year,No,Bank Withdrawal,110.5,0.0,0,0
Female,29,No,0,0,7,Yes,16.2,No,No,One Year,No,Credit Card,19.9,0.0,0,0
Female,26,No,0,0,4,Yes,38.74,Yes,Yes,Month-to-Month,Yes,Credit Card,80.3,0.0,0,0
Female,73,No,0,0,71,Yes,34.36,Yes,Yes,Two Year,Yes,Credit Card,99.65,3.33,0,0
Male,80,Yes,0,8,58,Yes,31.11,Yes,Yes,Two Year,Yes,Bank Withdrawal,98.9,0.0,0,0
Male,62,No,0,0,53,Yes,23.17,No,No,Two Year,No,Bank Withdrawal,19.65,0.0,0,0
Male,76,Yes,0,5,31,Yes,46.06,Yes,Yes,Two Year,No,Bank Withdrawal,89.45,31.58,0,0
Male,22,No,0,0,6,Yes,3.16,No,Yes,Month-to-Month,Yes,Bank Withdrawal,55.7,0.0,0,0
Male,49,No,0,0,49,Yes,17.77,Yes,Yes,Two Year,Yes,Bank Withdrawal,66.15,0.0,0,0
Female,60,No,0,0,8,Yes,17.52,No,Yes,One Year,No,Bank Withdrawal,58.2,0.0,30,0
Female,65,No,0,0,22,Yes,34.39,No,No,One Year,Yes,Credit Card,20.05,0.0,0,0
Male,37,Yes,0,0,29,Yes,28.37,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.45,0.0,0,1
Male,24,Yes,1,3,61,No,25.69,No,Yes,Month-to-Month,No,Bank Withdrawal,33.6,0.0,110,0
Female,69,No,0,0,30,Yes,45.88,Yes,Yes,Month-to-Month,No,Credit Card,91.7,0.0,0,1
Female,36,Yes,0,1,25,Yes,23.24,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.1,0.0,0,1
Male,73,No,0,0,9,Yes,24.85,No,Yes,Two Year,Yes,Bank Withdrawal,79.55,0.0,10,0
Male,27,Yes,2,1,5,Yes,41.21,No,No,One Year,No,Bank Withdrawal,20.55,0.0,0,0
Male,28,No,0,0,9,Yes,49.14,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.35,0.0,0,1
Female,32,Yes,0,6,65,Yes,41.34,Yes,Yes,One Year,Yes,Credit Card,108.05,0.0,0,0
Male,79,No,0,0,29,Yes,6.59,No,Yes,One Year,Yes,Bank Withdrawal,101.45,0.0,60,0
Female,47,No,0,0,12,Yes,21.93,Yes,Yes,Month-to-Month,Yes,Credit Card,79.55,0.0,0,0
Female,34,Yes,1,6,55,Yes,41.18,Yes,Yes,One Year,No,Credit Card,100.9,0.0,0,0
Male,40,No,0,0,11,Yes,44.94,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,0.0,0,1
Male,19,Yes,0,4,68,Yes,25.19,Yes,No,Two Year,No,Credit Card,25.05,0.0,0,0
Male,51,No,0,0,34,Yes,28.0,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.35,0.0,0,0
Male,40,Yes,1,2,36,Yes,8.0,No,Yes,One Year,No,Credit Card,53.65,0.0,0,0
Female,35,Yes,0,9,15,Yes,46.68,Yes,No,Two Year,No,Credit Card,25.2,0.0,0,0
Male,38,No,0,0,10,Yes,49.04,No,Yes,Month-to-Month,Yes,Credit Card,51.65,0.0,0,0
Male,48,Yes,0,10,43,Yes,7.63,No,Yes,Month-to-Month,Yes,Credit Card,86.1,0.0,0,0
Female,24,No,2,0,8,Yes,15.66,No,No,Month-to-Month,No,Credit Card,20.05,0.0,0,0
Female,68,Yes,3,1,4,Yes,42.13,No,Yes,Month-to-Month,No,Bank Withdrawal,46.0,0.0,0,1
Male,64,Yes,3,6,71,Yes,16.13,No,No,Two Year,Yes,Bank Withdrawal,19.6,0.0,0,0
Male,36,No,0,0,17,Yes,4.51,No,Yes,Month-to-Month,No,Bank Withdrawal,93.85,0.0,0,1
Female,28,Yes,1,1,6,Yes,24.83,Yes,Yes,Month-to-Month,Yes,Credit Card,48.95,0.0,0,0
Male,65,No,0,0,2,Yes,20.99,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.0,0.0,0,1
Female,73,Yes,0,1,1,Yes,24.24,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.55,0.0,0,1
Male,30,No,0,0,64,Yes,24.23,Yes,Yes,One Year,Yes,Credit Card,105.65,0.0,0,1
Male,31,No,3,0,39,No,25.69,No,Yes,One Year,No,Bank Withdrawal,54.85,0.0,0,0
Male,52,Yes,2,9,46,Yes,38.45,No,Yes,One Year,No,Credit Card,56.9,0.0,0,0
Male,26,Yes,0,0,1,Yes,23.06,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.75,0.0,0,1
Female,45,Yes,3,10,72,Yes,37.84,Yes,Yes,Two Year,Yes,Bank Withdrawal,84.2,0.0,0,0
Female,35,Yes,1,0,33,Yes,12.51,No,No,Two Year,No,Credit Card,19.8,0.0,0,0
Female,55,No,0,0,32,Yes,4.61,Yes,Yes,One Year,Yes,Bank Withdrawal,109.55,0.0,0,0
Female,44,No,0,0,5,Yes,24.61,No,No,Month-to-Month,Yes,Credit Card,20.5,0.0,0,0
Female,28,No,0,0,2,No,25.69,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.25,0.0,10,1
Female,29,No,0,0,2,Yes,33.89,No,Yes,Month-to-Month,No,Bank Withdrawal,80.55,0.0,0,1
Female,79,No,0,0,17,Yes,1.06,Yes,Yes,One Year,Yes,Credit Card,82.65,0.0,0,0
Male,39,No,1,0,5,Yes,8.01,No,No,Month-to-Month,No,Credit Card,20.35,0.0,0,0
Male,35,No,0,0,10,Yes,3.01,Yes,No,Month-to-Month,Yes,Bank Withdrawal,24.0,0.0,0,0
Female,40,No,0,0,41,Yes,36.47,Yes,Yes,One Year,Yes,Credit Card,56.3,0.0,0,0
Female,22,No,0,0,63,Yes,8.38,Yes,Yes,One Year,No,Bank Withdrawal,99.9,0.0,0,1
Male,37,Yes,0,3,22,Yes,48.06,No,No,One Year,No,Credit Card,20.15,0.0,0,0
Female,32,No,0,0,47,Yes,2.45,No,Yes,One Year,Yes,Bank Withdrawal,103.7,0.0,0,0
Male,41,No,0,0,65,Yes,22.23,Yes,Yes,Two Year,Yes,Credit Card,74.2,0.0,0,0
Female,74,No,0,0,8,Yes,39.86,Yes,Yes,Two Year,Yes,Credit Card,-8.0,0.0,0,0
Male,54,No,0,0,10,Yes,35.63,Yes,Yes,Month-to-Month,No,Bank Withdrawal,95.2,0.0,0,1
Female,40,No,0,0,9,Yes,22.88,No,Yes,Month-to-Month,Yes,Bank Withdrawal,77.65,0.0,0,1
Male,60,No,0,0,35,Yes,49.61,No,Yes,One Year,Yes,Bank Withdrawal,89.2,0.0,0,0
Male,74,No,0,0,2,Yes,6.51,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,0.0,0,1
Male,67,Yes,0,1,8,No,25.69,No,Yes,Two Year,Yes,Credit Card,43.35,0.0,0,0
Male,25,Yes,0,4,24,No,25.69,No,Yes,Month-to-Month,No,Bank Withdrawal,29.1,0.0,0,0
Female,46,No,0,0,36,No,25.69,No,Yes,Two Year,Yes,Credit Card,53.1,0.0,0,0
Male,60,Yes,0,1,67,Yes,21.71,Yes,Yes,Two Year,Yes,Bank Withdrawal,111.3,36.66,0,0
Female,65,Yes,0,2,15,Yes,44.13,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,83.05,0.0,110,1
Male,56,No,1,0,10,Yes,29.95,Yes,Yes,Two Year,Yes,Bank Withdrawal,61.9,0.0,0,0
Female,20,No,0,0,1,Yes,29.41,No,Yes,Month-to-Month,No,Bank Withdrawal,78.05,0.0,10,1
Male,75,Yes,0,1,24,No,25.69,No,Yes,Month-to-Month,No,Bank Withdrawal,39.1,0.0,0,1
Male,39,No,0,0,21,No,25.69,No,Yes,Month-to-Month,Yes,Credit Card,36.0,0.0,0,0
Female,52,No,0,0,11,Yes,24.57,Yes,Yes,Month-to-Month,Yes,Credit Card,58.95,0.0,70,0
Female,75,No,0,0,50,Yes,17.65,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,104.95,0.0,0,0
Male,39,No,0,0,13,Yes,22.31,No,No,One Year,No,Mailed Check,19.45,0.0,0,0
Female,49,Yes,1,7,64,Yes,21.16,Yes,Yes,Two Year,No,Bank Withdrawal,110.3,0.0,0,0
Male,19,No,1,0,71,Yes,31.89,Yes,Yes,One Year,Yes,Credit Card,85.45,0.0,0,0
Female,63,No,0,0,9,Yes,34.79,No,No,Month-to-Month,No,Bank Withdrawal,20.15,0.0,0,0
Male,61,Yes,0,1,53,No,25.69,No,Yes,One Year,Yes,Bank Withdrawal,60.45,0.0,0,1
Female,56,Yes,0,1,46,Yes,30.47,No,No,Two Year,Yes,Credit Card,19.95,0.0,0,0
Male,30,Yes,2,9,63,Yes,18.88,No,Yes,Month-to-Month,Yes,Credit Card,80.3,0.0,40,0
Male,29,Yes,0,10,71,Yes,31.97,Yes,Yes,Two Year,Yes,Credit Card,108.55,0.0,0,0
Female,67,Yes,0,0,5,Yes,9.56,No,Yes,One Year,Yes,Bank Withdrawal,69.35,0.0,0,0
Female,25,Yes,3,9,65,Yes,34.03,Yes,No,Two Year,Yes,Bank Withdrawal,25.3,0.0,0,0
Male,48,No,0,0,42,Yes,25.69,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.3,0.0,0,0
Male,28,No,0,0,24,Yes,30.07,No,Yes,Month-to-Month,No,Bank Withdrawal,54.95,0.0,0,0
Male,57,No,2,0,66,Yes,20.63,No,No,Two Year,No,Credit Card,20.55,17.14,0,0
Female,42,No,0,0,25,Yes,13.93,No,No,Two Year,No,Credit Card,19.8,0.0,0,0
Female,45,Yes,0,9,56,Yes,20.53,Yes,Yes,One Year,Yes,Credit Card,99.75,0.0,0,0
Male,79,Yes,0,4,52,Yes,29.15,Yes,Yes,One Year,Yes,Bank Withdrawal,105.1,0.0,0,0
Female,47,Yes,2,4,23,Yes,35.86,Yes,No,Two Year,No,Mailed Check,25.1,0.0,0,0
Female,56,Yes,0,10,25,Yes,3.6,Yes,No,One Year,Yes,Credit Card,26.8,0.0,0,0
Female,33,No,0,0,32,Yes,41.53,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,0.0,0,0
Female,21,No,0,0,16,Yes,14.26,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.15,0.0,0,1
Female,74,Yes,3,4,23,Yes,2.03,No,Yes,Two Year,Yes,Bank Withdrawal,88.45,0.0,0,0
Male,22,No,0,0,26,No,25.69,No,Yes,One Year,No,Credit Card,54.55,0.0,0,0
Female,56,Yes,0,3,49,Yes,22.1,No,No,One Year,Yes,Bank Withdrawal,20.05,0.0,0,0
Male,68,No,0,0,5,Yes,2.27,No,Yes,Month-to-Month,Yes,Credit Card,70.25,12.48,0,1
Female,36,No,0,0,50,Yes,12.62,No,No,Two Year,No,Credit Card,19.4,0.0,0,0
Male,52,No,0,0,13,No,25.69,No,Yes,Month-to-Month,Yes,Credit Card,45.55,0.0,0,1
Female,64,Yes,1,9,28,Yes,21.91,No,No,One Year,No,Credit Card,19.9,0.0,0,0
Female,25,No,1,0,49,Yes,45.64,No,No,One Year,No,Credit Card,19.45,0.0,0,0
Female,51,No,0,0,18,Yes,7.42,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.05,38.65,0,0
Female,26,Yes,1,8,72,Yes,38.99,Yes,Yes,Two Year,Yes,Bank Withdrawal,71.45,0.0,0,0
Female,43,Yes,2,0,37,Yes,1.6,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.25,0.0,0,0
Male,80,Yes,0,10,7,No,25.69,No,Yes,One Year,No,Bank Withdrawal,29.8,11.83,0,0
Male,64,Yes,0,4,45,Yes,1.59,Yes,Yes,Month-to-Month,No,Bank Withdrawal,81.4,0.0,0,0
Male,53,No,0,0,19,Yes,29.52,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.0,22.55,0,0
Male,42,No,0,0,29,Yes,46.12,No,No,One Year,Yes,Credit Card,19.8,0.0,0,0
Male,37,Yes,1,3,61,Yes,43.08,No,Yes,One Year,No,Credit Card,103.9,0.0,0,0
Male,46,No,0,0,4,Yes,33.93,No,Yes,Month-to-Month,Yes,Bank Withdrawal,-8.0,0.0,0,0
Female,22,No,0,0,38,Yes,23.95,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,103.65,0.0,140,0
Male,23,No,0,0,1,Yes,48.03,No,Yes,Month-to-Month,No,Credit Card,45.05,0.0,0,1
Female,60,No,0,0,15,No,25.69,No,Yes,One Year,No,Credit Card,45.9,16.27,0,0
Male,30,No,0,0,71,Yes,49.42,Yes,Yes,Two Year,Yes,Bank Withdrawal,108.05,0.0,0,1
Male,40,Yes,0,1,52,Yes,38.37,No,Yes,Month-to-Month,No,Bank Withdrawal,84.1,0.0,0,1
Female,60,No,0,0,2,Yes,24.71,No,No,Month-to-Month,No,Mailed Check,20.65,0.0,0,1
Male,77,Yes,0,1,24,Yes,16.1,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,0.0,0,1
Male,39,No,0,0,43,Yes,19.66,Yes,Yes,Month-to-Month,Yes,Credit Card,75.35,0.0,0,0
Male,27,No,0,0,2,Yes,29.69,No,Yes,Month-to-Month,No,Bank Withdrawal,46.05,0.0,10,1
Male,21,No,0,0,24,Yes,3.72,No,Yes,Month-to-Month,Yes,Mailed Check,49.7,0.0,0,0
Male,78,Yes,0,0,41,Yes,22.56,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.8,8.88,0,1
Female,49,Yes,0,1,14,Yes,29.18,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,87.25,0.0,0,1
Female,57,Yes,0,9,64,Yes,23.29,No,Yes,Two Year,Yes,Credit Card,68.3,0.0,0,0
Male,38,Yes,0,1,72,Yes,49.5,No,No,Two Year,No,Credit Card,19.4,0.0,0,0
Female,29,No,0,0,27,Yes,1.31,No,Yes,Month-to-Month,Yes,Mailed Check,56.15,0.0,0,0
Male,79,No,0,0,35,Yes,3.04,No,Yes,One Year,Yes,Bank Withdrawal,73.0,0.0,0,0
Female,62,No,0,0,1,Yes,12.4,No,Yes,Month-to-Month,No,Bank Withdrawal,68.65,0.0,0,1
Male,74,No,0,0,43,Yes,39.12,No,Yes,Month-to-Month,Yes,Mailed Check,89.55,0.0,0,1
Female,69,Yes,0,1,53,Yes,30.09,Yes,Yes,One Year,Yes,Credit Card,95.85,18.85,0,0
Female,50,No,0,0,17,Yes,24.31,Yes,Yes,One Year,Yes,Mailed Check,55.85,0.0,0,1
Female,67,No,0,0,20,Yes,29.29,Yes,Yes,Month-to-Month,Yes,Credit Card,85.8,0.0,0,1
Male,33,No,0,0,6,Yes,10.54,No,No,One Year,No,Credit Card,19.15,0.0,0,0
Female,52,No,0,0,61,Yes,23.45,Yes,Yes,Two Year,No,Bank Withdrawal,89.65,0.0,0,0
Female,74,No,0,0,4,Yes,48.35,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,0.0,0,1
Male,24,No,0,0,1,Yes,35.77,No,Yes,Month-to-Month,No,Bank Withdrawal,80.5,0.0,0,1
Female,50,Yes,2,1,68,Yes,15.94,Yes,Yes,One Year,Yes,Bank Withdrawal,83.65,46.99,0,0
Male,49,No,0,0,1,Yes,19.98,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.25,0.0,0,1
Female,54,No,0,0,2,Yes,5.32,Yes,Yes,Month-to-Month,No,Credit Card,80.6,0.0,0,1
Female,41,No,0,0,45,Yes,14.12,Yes,Yes,Month-to-Month,Yes,Credit Card,89.3,44.63,0,1
Female,64,Yes,0,1,40,Yes,2.03,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.85,0.0,0,1
Female,38,No,0,0,34,Yes,2.82,No,Yes,Month-to-Month,Yes,Bank Withdrawal,105.1,0.0,0,0
Female,49,No,0,0,13,Yes,29.21,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.95,0.0,0,0
Female,64,No,0,0,1,Yes,10.71,No,No,Month-to-Month,Yes,Credit Card,20.25,0.0,0,1
Female,36,Yes,1,6,35,No,25.69,No,Yes,One Year,No,Credit Card,40.9,0.0,0,0
Male,63,Yes,2,7,35,Yes,24.23,No,No,One Year,No,Bank Withdrawal,19.9,0.0,0,0
Male,75,Yes,0,5,72,Yes,28.5,Yes,Yes,Two Year,Yes,Credit Card,102.65,0.0,0,0
Female,27,No,0,0,12,Yes,35.81,No,No,Month-to-Month,No,Bank Withdrawal,19.45,0.0,0,0
Male,64,Yes,0,4,69,Yes,44.33,No,Yes,Two Year,Yes,Bank Withdrawal,75.75,0.0,0,0
Male,68,No,0,0,57,Yes,32.12,Yes,Yes,Two Year,Yes,Bank Withdrawal,104.9,1.69,90,0
Female,61,Yes,0,4,35,Yes,10.43,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.3,0.0,80,1
Male,47,Yes,3,9,69,Yes,26.35,Yes,Yes,Two Year,No,Bank Withdrawal,86.9,0.0,0,0
Female,50,Yes,0,1,63,Yes,1.93,Yes,Yes,One Year,Yes,Bank Withdrawal,107.5,0.0,60,1
Female,58,No,3,0,41,Yes,38.94,No,Yes,Month-to-Month,No,Bank Withdrawal,45.2,0.0,0,0
Female,47,Yes,3,5,47,Yes,3.95,No,No,Two Year,Yes,Bank Withdrawal,21.3,0.0,0,0
Male,31,Yes,0,1,72,Yes,34.87,Yes,Yes,One Year,Yes,Bank Withdrawal,117.8,0.0,0,1
Female,26,No,0,0,59,Yes,1.94,Yes,Yes,One Year,No,Credit Card,79.85,0.0,0,0
Female,20,Yes,3,5,18,Yes,20.0,No,No,Two Year,No,Credit Card,19.35,0.0,0,0
Female,19,Yes,0,1,25,No,25.69,No,Yes,Month-to-Month,Yes,Bank Withdrawal,34.0,0.0,0,1
Male,46,Yes,0,5,40,Yes,12.97,No,Yes,One Year,No,Bank Withdrawal,80.8,0.0,0,0
Female,30,Yes,0,1,21,No,25.69,No,Yes,One Year,Yes,Bank Withdrawal,55.95,0.0,10,1
Male,36,Yes,1,10,68,Yes,34.62,Yes,Yes,One Year,Yes,Credit Card,101.05,0.0,0,0
Female,73,Yes,0,2,70,Yes,15.9,No,No,Two Year,Yes,Credit Card,19.55,0.0,0,0
Female,24,Yes,0,8,72,Yes,16.15,Yes,Yes,Two Year,Yes,Bank Withdrawal,84.05,0.0,0,0
Female,21,Yes,0,7,11,Yes,1.92,No,No,One Year,No,Credit Card,20.6,0.0,0,0
Female,40,Yes,2,9,56,Yes,29.06,Yes,No,Two Year,Yes,Credit Card,24.95,0.0,0,0
Female,41,No,0,0,36,No,25.69,No,Yes,Month-to-Month,Yes,Bank Withdrawal,34.85,0.0,0,0
Male,42,No,0,0,37,Yes,44.52,Yes,Yes,One Year,Yes,Bank Withdrawal,90.6,8.96,0,0
Female,50,Yes,0,3,39,No,25.69,No,Yes,Month-to-Month,No,Bank Withdrawal,55.9,0.0,0,1
Male,29,No,3,0,18,Yes,41.08,Yes,Yes,Month-to-Month,Yes,Credit Card,80.55,0.0,0,0
Male,29,No,0,0,19,Yes,11.42,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.75,49.38,0,0
Female,36,No,0,0,4,Yes,24.09,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.65,0.0,0,1
Female,76,Yes,0,0,38,Yes,3.42,No,Yes,Two Year,Yes,Bank Withdrawal,83.45,24.98,0,0
Male,38,Yes,2,5,10,Yes,46.23,No,No,One Year,Yes,Credit Card,19.7,0.0,0,0
Male,28,Yes,0,7,56,Yes,46.9,Yes,Yes,One Year,Yes,Bank Withdrawal,100.55,0.0,0,0
Female,37,No,0,0,30,Yes,22.64,Yes,Yes,One Year,Yes,Credit Card,68.95,0.0,0,0
Male,64,Yes,2,1,72,Yes,28.63,Yes,Yes,Two Year,No,Credit Card,88.7,0.0,0,0
Female,26,No,0,0,8,Yes,5.27,No,No,One Year,Yes,Bank Withdrawal,20.2,0.0,0,0
Female,64,Yes,1,1,53,Yes,28.36,Yes,Yes,Two Year,Yes,Bank Withdrawal,104.05,0.0,0,0
Male,44,Yes,0,1,46,Yes,10.13,Yes,Yes,One Year,Yes,Bank Withdrawal,94.65,0.0,0,0
Female,31,No,0,0,6,Yes,7.72,No,No,Month-to-Month,No,Credit Card,20.7,0.0,0,0
Female,22,Yes,0,1,8,Yes,38.83,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.2,0.0,0,1
Female,21,Yes,0,1,56,Yes,19.16,Yes,Yes,One Year,Yes,Bank Withdrawal,98.25,0.0,150,1
Female,29,No,0,0,31,Yes,31.14,Yes,Yes,Month-to-Month,No,Credit Card,65.25,0.0,120,1
Male,76,No,0,0,13,Yes,49.9,No,Yes,Month-to-Month,Yes,Bank Withdrawal,59.9,0.0,0,0
Male,59,Yes,3,6,40,Yes,11.5,Yes,Yes,Month-to-Month,Yes,Credit Card,110.1,0.0,0,0
Female,71,Yes,0,0,59,Yes,19.14,Yes,Yes,One Year,Yes,Bank Withdrawal,94.05,0.0,30,0
Female,41,Yes,3,7,50,Yes,47.48,No,Yes,One Year,No,Credit Card,103.05,0.0,0,0
Female,53,Yes,3,0,2,No,25.69,No,Yes,Month-to-Month,Yes,Credit Card,24.4,0.0,0,1
Female,56,No,0,0,46,Yes,46.83,Yes,Yes,Two Year,No,Mailed Check,79.2,0.0,0,0
Female,45,No,3,0,18,Yes,42.45,Yes,Yes,Month-to-Month,No,Bank Withdrawal,64.8,0.0,0,0
Female,59,No,0,0,35,No,25.69,No,Yes,Month-to-Month,Yes,Credit Card,33.45,0.0,30,0
Male,47,No,2,0,1,Yes,11.86,No,Yes,Month-to-Month,No,Credit Card,50.6,0.0,0,1
Male,28,No,0,0,4,Yes,42.33,Yes,Yes,Month-to-Month,No,Credit Card,80.8,0.0,0,1
Male,30,No,0,0,5,Yes,36.52,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.3,0.0,0,1
Female,64,Yes,0,7,69,Yes,39.88,Yes,Yes,Two Year,Yes,Credit Card,64.15,0.0,40,0
Male,41,Yes,0,1,17,Yes,16.61,No,Yes,Month-to-Month,No,Bank Withdrawal,80.85,0.0,0,1
Female,48,No,0,0,1,Yes,43.52,No,No,Month-to-Month,Yes,Bank Withdrawal,20.2,0.0,0,1
Male,71,Yes,0,1,24,Yes,2.05,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,78.85,0.0,0,1
Female,69,No,0,0,62,Yes,19.52,Yes,Yes,One Year,No,Bank Withdrawal,84.45,0.0,0,0
Male,49,No,0,0,12,Yes,11.12,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.4,0.0,0,1
Male,45,No,0,0,23,Yes,35.32,No,No,Month-to-Month,No,Bank Withdrawal,20.85,0.0,0,0
Female,54,Yes,2,10,45,No,25.69,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.9,0.0,0,0
Female,64,No,0,0,9,Yes,48.38,No,Yes,Month-to-Month,Yes,Credit Card,85.3,0.0,10,0
Male,60,Yes,0,3,4,Yes,32.43,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.35,0.0,0,1
Male,60,No,0,0,24,Yes,9.53,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.95,0.0,0,0
Female,42,Yes,0,2,71,Yes,24.71,Yes,No,Two Year,Yes,Credit Card,25.95,0.0,0,0
Male,56,No,0,0,2,Yes,6.47,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.15,0.0,0,1
Female,41,No,0,0,10,Yes,45.21,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.6,0.0,0,1
Female,28,No,0,0,67,Yes,35.99,No,Yes,One Year,No,Credit Card,60.5,0.0,0,0
Female,39,Yes,3,1,7,Yes,18.91,No,Yes,One Year,No,Bank Withdrawal,69.45,0.0,0,0
Female,34,No,0,0,13,Yes,38.4,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,78.75,0.0,50,0
Female,47,No,0,0,57,Yes,38.94,Yes,Yes,One Year,No,Bank Withdrawal,94.7,0.0,0,0
Female,74,Yes,0,0,36,Yes,11.32,Yes,Yes,Month-to-Month,Yes,Credit Card,91.95,17.76,0,0
Female,61,No,0,0,66,Yes,13.28,Yes,Yes,Two Year,Yes,Credit Card,90.05,0.0,0,0
Female,33,No,0,0,22,Yes,32.75,Yes,Yes,Month-to-Month,Yes,Credit Card,59.05,0.0,0,0
Female,57,Yes,0,1,17,Yes,25.79,Yes,Yes,Month-to-Month,No,Bank Withdrawal,94.4,0.0,0,1
Female,75,No,0,0,1,Yes,39.61,Yes,Yes,Month-to-Month,Yes,Credit Card,74.45,0.0,0,1
Female,64,Yes,0,1,11,Yes,25.67,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.0,0.0,0,1
Female,27,Yes,0,1,2,Yes,8.5,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.55,0.0,0,1
Male,51,No,0,0,4,Yes,7.26,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.8,0.0,0,1
